Citation,Topics,,,,,States and Union Territories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Years of Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
citation,Diet,Disease Ecology (and Health),Habitat,Movement Ecology,Toxicology,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadra and Nagar Haveli and Daman and Diu,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Lakshadweep,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttar Pradesh,Uttarakhand,West Bengal,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980,1979,1978,1977,1976,1975,1974,1973,1972,1971,1970,1969,1968,1967,1966,1965,1964,1963,1962,1961,1960
"Senacha, K. R. (2014): Status survey and conservation education campaign: a community participation approach to protect bats in Jalore and Barmer districts of Rajasthan parts of the Thar Desert. Final Report, RSG Booster Grant Bat Conservation and Awareness Project (Ref. No. 11950 - B), Rufford Small Grants Foundation, London, U. K., 1 - 60.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senacha, K. R. (2016): Status survey and conservation education campaign: a community participation approach to protect bats in Pali district of Rajasthan parts of the Thar Desert. Final Report, BCI Global Grassroots Bat Conservation and Awareness Project: (Reference No: GG13003), Bat Conservation International, Texas, U.S.A., 1 - 42.",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kurunthachalam, S. K., M, W., Tajima, Y., & A.N, S. (1999). Isomer-specific patterns and toxic assessment of polychlorinated biphenyls in resident and wintering migrant birds and bat collected from South India. Toxicological and Environmental Chemistry, 71, 221–239.",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senthilkumar, K., Kannan, K., Subramanian, A., & Tanabe, S. (2001). Accumulation of organochlorine pesticides and polychlorinated biphenyls in sediments, aquatic organisms, birds, bird eggs and bat collected from South India. Environmental Science and Pollution Research, 8(1), 35–47. https://doi.org/10.1007/BF02987293",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Goveas, S., E.C., M., Sahadevan, S., & Sridhar, K. (2006). Observations on guano and bolus of Indian flying fox, Pteropus giganteus [Dataset]. In Curr. Sci. (Vol. 90).",,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rahman, A., Choudhury, P., & Talukdar, N. R. (2019). Assessing Essential Trace Elements in Cave Nectar Bat (Eonycteris spelaea): A Study in Barak Valley of Assam, India. Biological Trace Element Research, 188. https://doi.org/10.1007/s12011-018-1431-x",,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Johnson, J., & Vincent, M. (2020). Tracing heavy metals in urban ecosystems through the study of bat guano—A preliminary study from Kerala, India. Journal of Threatened Taxa, 12(10), Article 10. https://doi.org/10.11609/jott.6225.12.10.16377-16379",,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rahman, A., Talukdar, N. R., & Choudhury, P. (2020). Assessing some essential trace elements concentration in micro chiropteran bat (Megaderma lyra): A study in Barak Valley of Assam, India. Environmental Chemistry and Ecotoxicology, 2. https://doi.org/10.1016/j.enceco.2020.02.002",,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Murugan, C. M., Mahandran, V., Vinothini, G., Shyu, D. J. H., & Nathan, P. T. (2021). Diet and diet-associated heavy metal accumulation in an insectivorous bat (Hipposideros speoris) adapted to dwell in two discrete habitats. Environmental Challenges, 5, 100386. https://doi.org/10.1016/j.envc.2021.100386",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kaur, G., & Singh, R. (2024). Analysis of Chemical Pollutants using Non-Invasive Approach in Indian Flying Fox (Pteropus giganteus) in Selected Regions of Punjab. Environment and Ecology, 42(1), 11–19. https://doi.org/10.60151/envec/AUYA2089",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar et al 2018; A retrospective study of ectoparasites on Indian pipistrelle bat (Pipistrellus coromandra),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banerjee et al 1988; Antibodies against Japanese encephalitis virus in insectivorous bats from Karnataka,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banskar et al 2016; Bacterial diversity indicates dietary overlap among bats of different feeding habits,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randhawa et al 1985; Blastomyces dermatitidis in bats: first report of its isolation from the liver of Rhinopoma hardwickei hardwickei Gray,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Yadav et al 2018; Circulation of Nipah virus in Pteropus giganteus bats in northeast region of India, 2015",,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selvin et al 2019; Culture-dependent and metagenomic analysis of lesser horseshoe bats’ gut microbiome revealing unique bacterial diversity and signatures of potential human pathogens,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yadav et al 2020; Detection of coronaviruses in Pteropus & Rousettus species of bats from different States of India,,1,,,,,,,,,1,,,,,1,,1,,,1,1,,,,,,,,,1,1,1,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sudeep et al 2021; Detection of Nipah virus in Pteropus medius in 2019 outbreak from Ernakulam district, Kerala, India",,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dovih, et al 2019; Filovirus-reactive antibodies in humans and bats in Northeast India imply zoonotic spillover",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Himani et al 2022; First report on the detection of Japanese encephalitis virus in fruit bats from India,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deshpande et al 2022; Forbidden fruits? Ecosystem services from seed dispersal by fruit bats in the context of latent zoonotic risk,,1,,,,,,,,,,,,,1,,,,,,1,1,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Epstein et al 2008; Henipavirus Infection in Fruit Bats (Pteropus giganteus), India",,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raut et al 2012; Isolation of a Novel Adenovirus from Rousettus leschenaultii Bats from India,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Khan et al 1982; Isolation of Blastomyces dermatitidis from the lungs of a bat, Rhinopoma hardwickei hardwickei Gray, in Delhi",,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
"Rajagopalan et al 1969; Isolation of Kyasanur Forest disease virus from the insectivorous bat, Rhinolophus rouxi and from Ornithodoros ticks",,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Paul et al 1970; Isolation of the West Nile virus from the frugivorous bat, Rousettus leschenaulti.",,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Yadav et al 2016; Isolation of Tioman virus from Pteropus giganteus bat in North-East region of India,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mourya et al 2014; Malsoor Virus, a Novel Bat Phlebovirus, Is Closely Related to Severe Fever with Thrombocytopenia Syndrome Virus and Heartland Virus",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banskar et al 2016; Microbiome analysis reveals the abundance of bacterial pathogens in Rousettus leschenaultii guano,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barolia et al 2017; Molecular Characterization and Identification of Burkholderia Multivorans BPSS Isolated from Fecal Contents of Pteropus Giganteus in Udaipur, Rajasthan, India",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sreenivasan et al 1983; Muroor virus: a new arbovirus isolated in India from the bat tick (Ornithodoros piriformis).,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Yadav et al 2022; Nipah Virus Outbreak in Kerala State, India Amidst of COVID-19 Pandemic",,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yadav et al 2019; Nipah Virus Sequences from Humans and Bats during Nipah Outbreak, Kerala, India, 2018",,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pavri et al 1965; Demonstration of antibodies against the virus of Kyasanur Forest disease (KFD) in the frugivorous bat Rousettus leschenaulti, near Poona, India",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
"Chaturvedi et al 1984; Prevalence of Basidiobolus ranarum Eidam in the intestinal tract of an insectivorous bat, Rhinopoma hardwickei hardwickei Gray, in Delhi",,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Plowright et al 2019; Prioritizing surveillance of Nipah virus in India,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mani et al 2017; Serological Evidence of Lyssavirus Infection among Bats in Nagaland, a North-Eastern State in India",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gokhale et al 2022; Serosurvey for Nipah virus in bat population of southern part of India,,1,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,1,1,,,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yadav et al 2017; Serosurvey of Malsoor virus among Rousettus leschenaulti bat & human population residing nearby Robber's cave, Mahabaleshwar, Maharashtra, India",,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mourya et al 2019; Spatial Association Between a Nipah Virus Outbreak in India and Nipah Virus Infection in Pteropus Bats,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Balasubramanian et al 2024; Surveillance of Nipah virus in Pteropus medius of Kerala state, India, 2023",,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sudhakaran, M.R., and Paramanantha Swami Doss. “Food and Foraging Preferences of Three Pteropodid Bats in Southern India.” Journal of Threatened Taxa 4, no. 1 (January 26, 2012): 2295–2303. https://doi.org/10.11609/JoTT.o2227.2295-303.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Krishnarathi, A, and S Suthakar Isaac. “Food and Feeding Ecology of Bat Preferred Plant Species and Their Mutualistic Interactions in Tirunelveli District,” 2016.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ashwin, Cheruthottunkara Purushothaman, and Samidurai Jayakumar. “Diet of Indian Flying Fox Pteropusgiganteus(Brünnich, 1782) in Selected Districts of Kerala and Tamil Nadu, India,” n.d.",1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vanlalnghaka, C. “Seasonal Variation in the Diet of the Frugivorous Bat, Rousettus Leschenaultia,” 2015
",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mahandran, Valliyappan, Hanumanthan Raghuram, and Parthasarathy Thiruchenthil Nathan. “Geophagy by the Indian Short-Nosed Fruit Bat, Cynopterus Sphinx (Pteropodidae) While Foraging on Madhuca Latifolia (Sapotaceae) in Tamil Nadu, South India.” Acta Ethologica 19, no. 1 (February 2016): 95–99. https://doi.org/10.1007/s10211-015-0227-7.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Juliet Vanitharani. “Latidens Salimalii (Endemic, Endanger Fruit Bat) A Reliable Propagator of Endemic Trees of Southern Western Ghats.” Journal of Life Sciences 9, no. 9 (September 28, 2015). https://doi.org/10.17265/1934-7391/2015.09.004.",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
