Species,Diet
Pteropus medius,"Achras zapota, Albizia labbeck, Albizia saman, Anacardium occidentale, Annona reticulata, Annona squamosa, Anona reticulata, Archas sapota, Areca catechu, Artocarpus chaplasha, Artocarpus heterophilus, Artocarpus heterophyllus, Artocarpus integrifolia, Averrhoa carambola, Azadirachta indica, Azardirachta indica, Baccaurea ramiflora, Bassia latifolia, Bobax ceiba, Bombax ceiba, Borassus flabellifer, Calophyllum inophyllum, Calyptranthes cuspidata, Capsicum frutensis, Carcia papaya, Carica papaya, Carrica papaya, Ceiba pentandra, Citrullus colocynthis, Coccina grandis, Cocos nucifera, Coffea arabica, D4Achrus zapota, D4Anacardium occidentale, D4Annoa reticulata, D4Areca catechu, D4Ceiba pentandra, D4Eucalyptus spp., D4Ficus benghalensis, D4Ficus religiosa, D4Madhuca indica, D4Madhuca latifolia, Dillenia indica, Elaeocarpus floribundus, Elaeocarpus sphaericus, Erythrina indica, Erythrina variegata, Eucalyptus spp., Eucalyptus teriticornis, Eugenia jambolana, Ficus bengalensis, Ficus benghalensis, Ficus benjamina, Ficus curtipes, Ficus drupacea, Ficus elastica, Ficus glomeratus, Ficus hispida, Ficus infectoria, Ficus microcarpa, Ficus racemosa, Ficus religiosa, Ficus reticulata, Ficus retusa, Ficus sp., Ficus spp, Ficus virens, Flacourtia jangomas, Grevillea robusta, Haldina cardifolia, Lannea coromondelica, Litchi chinensis, Madhuca indica, Mangifera indica, Manicra achras, Manilkara zapota, Melia azedarach, Mimordica spp., Mimusops elengi, Momordica charantia, Murraya koenigii, Musa acuminata, Musa balbisiana, Musa champa, Musa paradisiaca, Musa sapientum, Musa velutina, Neolamarckia cadamba, Parkia biglandulosa, Phoenix dactylifera, Pithecellobium dulce, Pithecolobium dulsi, Polyalthia latifolia, Polyalthia longifolia, Polyalthiya longifolia, Prosopis juliflora, Prunus armeniaca, Psidium guajava, Punica granatum, Putranjiva roxburghii, Saraca asoca, Spondia pinnata, Spondias pinnata, Sygyium cumini, Syzygium cumini, Tamarindus indica, Tamarindus indicus, Tectona grandis, Terminalia arjuna, Terminalia bellerica, Terminalia catappa, Terminalia chebula, Terminallia cattappa, Ziziphus jujuba, Ziziphus sp., Ziziphus vulgaris, Zizipus mauritiana"
Pteropus faunulus,"Artocarpus lakoocha, Bentinckia nicobarensis, Bentinckia sp1, Bentinckia sp2, Ceiba pentandra , Dillenia andamanica , Diospyros sp, Elaeocarpus macrocerus, Ficus sp4 , Ficus sp5, Ficus sp6, Ficus sp7, Mangifera camptosperma, Myristica sp, Pandanus eram andamanicum, Psidium guajava, Semecarpus anacardium, Mangifera indica, Sandoricum koetjape,  Syzigium sp2 , Syzigium sp3   "
Pteropus melanotus,"Artocarpus lakoocha,  Bentinckia sp2, Ceiba pentandra , Dillenia andamanica , Diospyros sp, Ficus sp4 , Ficus sp5, Ficus sp6, Ficus sp7, Mangifera camptosperma, Pandanus eram andamanicum, Pandanus odoratissmus,  Semecarpus anacardium, Mangifera indica, Sandoricum koetjape, Syzigium sp1 , Syzigium sp2 , Syzigium sp3   "
Cynopterus sphinx,"Albizia labbeck,Archas sapota,Bassia latifolia,Carica papaya,Carrica papaya,Cassia fistula,Ceiba pentandra,Coccinia grandis,Erythrina indica,Ficus religiosa,Geophagy ,Mangifera indica,Moringa olifera,Musa paradisiaca,Psidium guajava,Tamarindus indica"
Cynopterus brachyotis,"Musa paradisiaca, Calamus andamanicus, Calamus palustris, Ceiba pentandra, Fagrea sp , Ficus glomerata, Ficus sp1, Ficus sp2, Ficus pendula, Ficus sp5, Ficus sp6, Ficus sp7, Mangifera camptosperma, Semecarpus anacardium, Semecarpus kurzii, Syzigium sp2 , Syzigium sp3   "
Latidens salimali ,"Mangifera indica, Careya arborea, Cullenia exallirata, Eriodendron penandrum, Dichapetalum jelonioides, Diospyros foliolosa, Diospyros sylvastica, Eleocarpus munronii, Eleocarpus serratus, Eleocarpus tuberculatus, Erythroxylum monogynum, Ficus asperima, Ficus beddomei, Ficus callosa, Ficus gullata, Eleocarpus munronii, Ficus racemosa, Ficus retusa, Ensete superbum, Musua ferrea, Syzygium cumini, Syzygium jambos, Syzygium mundagam, Erythrina indica, Achronychia pedunculata, Atalantia monophylla, Madhuca longifolia, Palaquium ellipticum, Nephelium longana, Myristica dactyloides, Psychotria sp, Tarena asiatica, Dimocarpus longan, Palaquium ellipticum"
Rousettus leschenaultii,"Ficus benjamina, Ficus benghalensis, Ficus religiosa, Ficus racemosa, Ficus elastic, Ficus altissima, Ficus drupacea, Ficus hirta, Ficus semicordata, Artocarpus lakoocha, Artocarpus chaplasha, Artocarpus heterophyllus, Morus australis, Bauhinia variegate, Bombax ceiba, Bombax insigna, Calophyllum polyanthum, Bridelia retusa, Bischofia javanica, Erythrina variegata, Tarmarindus indica, Erythrina stricta, Flacourtia jangomas, Meyna spinosa, Prunus domestica, Rubus ellipticus, Prunus persica, Syzygium cumini, Syzygium grande, Syzygium claviflorum, Psidium guajava, Carica papaya, Musa sp., Zizyphus jujube, Mangifera indica, Averrhoa carambola, Myrica esculenata, Willughbeia edulis, Carallia brachiate, Litchi chinensis,Mangifera indica, Anacardium occidentale, Lannea coromondelica, Annona squamosa, Polyalthia longifolia, Polyalthia latifolia, Annona reticulata, Ceiba pentandra, Carica papaya, Terminalia catappa, Muntingia calabura, Calophyllum inophyllum, Azadirachta indica, Pithecellobium dulce, Ficus reticulata, Ficus benghalensis, Ficus religiosa, Musa paradisiaca, Psidium guajava, Syzygium cumini, Borassus flabellifer, Punica granatum, Bassia latifolia, Achras sapota, Guazuma tomentosa, Vitis vinifera,Ficus religiosa, Erythrina indica, Ceiba pentandra, Coccinia grandis, Psidium guajava, Albizia labbeck, Carrica papaya, Cassia fistula "
