S.No.,Family,English Name,Scientific Name,Authority,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhattisgarh,Gujarat,Goa,Haryana,Himachal Pradesh,Jharkhand,Karnataka,Kerala,Madhaya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telangana,Tripura,Uttarpradesh,Uttarakhand,West Bengal,Andaman & Nicobar,Chandigarh,"Dadra Nagar Haveli, Daman & Diu",Delhi,Jammu & Kashmir,Ladakh,Lakshadweep,Puducherry
120,Vespertilionidae,Rainforest Tube-nosed Bat,Murina pluvialis,"Ruedi, Biswas & Csorba, 2012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Vespertilionidae,Jaintia Tube-nosed Bat,Murina jaintiana,"Ruedi, Biswas & Csorba, 2012",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Vespertilionidae,Guillen’s Tube-nosed Bat,Murina guilleni,"Soisook, Karapan, Satasook, Dinh Thong, Khan, Maryanto, Csorba, Furey, Aul & Bates, 2013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
123,Vespertilionidae,Peters's Tube-nosed Bat,Harpiola grisea,"(Peters, 1872)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,Uttam,0,0,0,0,0,0,0,0,0
124,Vespertilionidae,Peters's Trumpet-eared Bat,Phoniscus jagorii,"(Peters, 1866)",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Vespertilionidae,Painted Woolly Bat,Kerivoula picta,"(Pallas, 1767)",1,Uttam,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
126,Vespertilionidae,Cryptic Woolly Bat,Kerivoula crypta,"Wroughton & Ryley, 1913",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Vespertilionidae,Lenis Woolly Bat,Kerivoula lenis,"Thomas, 1916",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
128,Vespertilionidae,Kachin Woolly Bat,Kerivoula kachinensis,"Bates, Struebig, Rossiter, Kingston, Sia Sein Lein Oo & Khin Mya Mya, 2004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Vespertilionidae,Dark Woolly Bat,Kerivoula furva,"Kuo et al., 2017",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
130,Miniopteridae,Eastern Long-fingered Bat,Miniopterus fuliginosus,"(Hodgson, 1835)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
131,Miniopteridae,Small Long-fingered Bat,Miniopterus pusillus,"Dobson, 1876",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
132,Miniopteridae,Phillip's Long-fingered Bat,Miniopterus phillipsi,"Kusuminda, Mannakkara, Ukuwela, Kruskop, Amarasinghe, Saikia, Venugopal, Karunarathna, Gamage, Ruedi, Csorba, Yapa and Patterson, 2022",1,0,0,0,0,0,Uttam,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Miniopteridae,Western Long-fingered Bat,Miniopterus magnater,"Sanborn, 1931",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Miniopteridae,Srini's Long-fingered Bat,Miniopterus srinii,"Srinivasulu & Srinivasulu, 2023",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,34,29,34,21,9,24,18,5,33,20,41,41,31,37,19,63,32,27,23,5,22,35,35,21,8,23,52,68,26,4,4,15,26,14,1,9
