database,id,latitude,longitude,scientific_name,rank,taxon_id
ibp,1755150,14.3520422,75.74043274,Pteropus vampyrus (Linnaeus 1758),species,NA
ibp,1752506,26.02466774,89.9734726,Cynopterus brachyotis (Müller 1838),species,NA
ibp,1751553,19.17905045,72.84137726,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1751371,8.727860451,76.93873596,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1750762,30.38568497,78.17583466,Tadarida teniotis (Rafinesque 1814),species,NA
ibp,1750745,26.01745224,90.30709839,Scotophilus kuhlii Leach 1821,species,NA
ibp,1749010,26.75328827,91.21663666,Otomops wroughtoni (Thomas 1913),species,NA
ibp,1748611,18.50231934,73.85070038,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1746796,10.53781605,76.1421814,Kerivoula picta (Pallas 1767),species,NA
ibp,1746688,24.60878563,73.67706299,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1746393,30.44630623,78.09440613,Rhinolophus,genus,NA
ibp,1741445,30.45990944,78.06639862,Chiroptera,order,NA
ibp,1741421,18.50143051,73.85293579,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1741383,30.45990944,78.06639862,Chiroptera,order,NA
ibp,1739435,14.33119011,75.74777222,Kerivoula picta (Pallas 1767),species,NA
ibp,1737442,15.17629242,76.62587738,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1737071,14.48064137,75.72379303,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1733396,22.57264519,88.3638916,Cynopterus sphinx (Vahl 1797),species,NA
ibp,1733393,22.57264519,88.3638916,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1732212,18.9580555,84.55236053,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1728012,12.22528458,79.0746994,Hipposideros,genus,NA
ibp,1726871,11.10627937,79.68984985,Kerivoula picta (Pallas 1767),species,NA
ibp,1725315,27.62858391,75.4082489,Rhinopoma microphyllum (Brünnich 1782),species,NA
ibp,1724545,17.17403603,74.10397339,Pteropus giganteus (Brünnich 1782),species,NA
ibp,1722880,9.390971184,76.57250977,Kerivoula picta (Pallas 1767),species,NA
